"province_code","year","month","influenza","influenza_death","dengue_fever","dengue_fever_death","diarrhoea","diarrhoea_death","date1"
15,2006,7,2753.0,0.0,0.0,0.0,1169.0,0.0,2006-07-15
15,2006,7,2753.0,0.0,0.0,0.0,1169.0,0.0,2006-07-15
30,2006,7,3332.0,0.0,0.0,0.0,1735.0,0.0,2006-07-15
30,2006,7,3332.0,0.0,0.0,0.0,1735.0,0.0,2006-07-15
30,2006,7,3332.0,0.0,0.0,0.0,1735.0,0.0,2006-07-15
27,2006,7,5805.0,0.0,0.0,0.0,1119.0,0.0,2006-07-15
27,2006,7,5805.0,0.0,0.0,0.0,1119.0,0.0,2006-07-15
27,2006,7,5805.0,0.0,0.0,0.0,1119.0,0.0,2006-07-15
27,2006,7,5805.0,0.0,0.0,0.0,1119.0,0.0,2006-07-15
27,2006,7,5805.0,0.0,0.0,0.0,1119.0,0.0,2006-07-15
27,2006,7,5805.0,0.0,0.0,0.0,1119.0,0.0,2006-07-15
27,2006,7,5805.0,0.0,0.0,0.0,1119.0,0.0,2006-07-15
27,2006,7,5805.0,0.0,0.0,0.0,1119.0,0.0,2006-07-15
3,2006,7,742.0,0.0,0.0,0.0,355.0,0.0,2006-07-15
3,2006,7,742.0,0.0,0.0,0.0,355.0,0.0,2006-07-15
3,2006,7,742.0,0.0,0.0,0.0,355.0,0.0,2006-07-15
3,2006,7,742.0,0.0,0.0,0.0,355.0,0.0,2006-07-15
29,2006,7,3073.0,0.0,0.0,0.0,1549.0,0.0,2006-07-15
29,2006,7,3073.0,0.0,0.0,0.0,1549.0,0.0,2006-07-15
25,2006,7,3835.0,0.0,0.0,0.0,1583.0,0.0,2006-07-15
16,2006,7,1337.0,0.0,0.0,0.0,723.0,0.0,2006-07-15
16,2006,7,1337.0,0.0,0.0,0.0,723.0,0.0,2006-07-15
16,2006,7,1337.0,0.0,0.0,0.0,723.0,0.0,2006-07-15
16,2006,7,1337.0,0.0,0.0,0.0,723.0,0.0,2006-07-15
7,2006,7,1049.0,0.0,0.0,0.0,374.0,0.0,2006-07-15
7,2006,7,1049.0,0.0,0.0,0.0,374.0,0.0,2006-07-15
31,2006,7,558.0,0.0,0.0,0.0,135.0,1.0,2006-07-15
31,2006,7,558.0,0.0,0.0,0.0,135.0,1.0,2006-07-15
24,2006,7,740.0,0.0,0.0,0.0,321.0,0.0,2006-07-15
24,2006,7,740.0,0.0,0.0,0.0,321.0,0.0,2006-07-15
4,2006,7,3101.0,0.0,0.0,0.0,665.0,0.0,2006-07-15
4,2006,7,3101.0,0.0,0.0,0.0,665.0,0.0,2006-07-15
20,2006,7,3194.0,0.0,5.0,0.0,1257.0,0.0,2006-07-15
13,2006,7,2142.0,0.0,0.0,0.0,1684.0,0.0,2006-07-15
13,2006,7,2142.0,0.0,0.0,0.0,1684.0,0.0,2006-07-15
13,2006,7,2142.0,0.0,0.0,0.0,1684.0,0.0,2006-07-15
9,2006,7,3067.0,0.0,0.0,0.0,956.0,0.0,2006-07-15
9,2006,7,3067.0,0.0,0.0,0.0,956.0,0.0,2006-07-15
9,2006,7,3067.0,0.0,0.0,0.0,956.0,0.0,2006-07-15
8,2006,7,3101.0,0.0,0.0,0.0,1334.0,0.0,2006-07-15
8,2006,7,3101.0,0.0,0.0,0.0,1334.0,0.0,2006-07-15
8,2006,7,3101.0,0.0,0.0,0.0,1334.0,0.0,2006-07-15
11,2006,7,1394.0,0.0,0.0,0.0,884.0,0.0,2006-07-15
11,2006,7,1394.0,0.0,0.0,0.0,884.0,0.0,2006-07-15
11,2006,7,1394.0,0.0,0.0,0.0,884.0,0.0,2006-07-15
6,2006,7,671.0,0.0,0.0,0.0,498.0,0.0,2006-07-15
15,2006,7,1093.0,0.0,80.0,0.0,6014.0,0.0,2006-07-15
15,2006,7,1093.0,0.0,80.0,0.0,6014.0,0.0,2006-07-15
15,2006,7,1093.0,0.0,80.0,0.0,6014.0,0.0,2006-07-15
10,2006,7,3800.0,0.0,0.0,0.0,1258.0,0.0,2006-07-15
2,2006,7,1194.0,0.0,0.0,0.0,1284.0,0.0,2006-07-15
17,2006,7,1387.0,0.0,4.0,0.0,1161.0,0.0,2006-07-15
17,2006,7,1387.0,0.0,4.0,0.0,1161.0,0.0,2006-07-15
12,2006,7,4473.0,0.0,1.0,0.0,8023.0,0.0,2006-07-15
19,2006,7,1152.0,0.0,0.0,0.0,799.0,0.0,2006-07-15
19,2006,7,1152.0,0.0,0.0,0.0,799.0,0.0,2006-07-15
22,2006,7,10346.0,0.0,0.0,0.0,1897.0,0.0,2006-07-15
22,2006,7,10346.0,0.0,0.0,0.0,1897.0,0.0,2006-07-15
22,2006,7,10346.0,0.0,0.0,0.0,1897.0,0.0,2006-07-15
22,2006,7,10346.0,0.0,0.0,0.0,1897.0,0.0,2006-07-15
22,2006,7,10346.0,0.0,0.0,0.0,1897.0,0.0,2006-07-15
23,2006,7,5992.0,0.0,144.0,0.0,1935.0,0.0,2006-07-15
23,2006,7,5992.0,0.0,144.0,0.0,1935.0,0.0,2006-07-15
23,2006,7,5992.0,0.0,144.0,0.0,1935.0,0.0,2006-07-15
23,2006,7,5992.0,0.0,144.0,0.0,1935.0,0.0,2006-07-15
23,2006,7,5992.0,0.0,144.0,0.0,1935.0,0.0,2006-07-15
23,2006,7,5992.0,0.0,144.0,0.0,1935.0,0.0,2006-07-15
23,2006,7,5992.0,0.0,144.0,0.0,1935.0,0.0,2006-07-15
